,precision,recall,f1-score,support
0,0.7870967741935484,0.976,0.8714285714285714,125.0
1,0.8888888888888888,0.42105263157894735,0.5714285714285714,57.0
accuracy,0.8021978021978022,0.8021978021978022,0.8021978021978022,0.8021978021978022
macro avg,0.8379928315412186,0.6985263157894737,0.7214285714285714,182.0
weighted avg,0.8189767222025287,0.8021978021978022,0.7774725274725275,182.0
