,precision,recall,f1-score,support
0,0.8633093525179856,0.9090909090909091,0.8856088560885609,132.0
1,0.7209302325581395,0.62,0.6666666666666666,50.0
accuracy,0.8296703296703297,0.8296703296703297,0.8296703296703297,0.8296703296703297
macro avg,0.7921197925380625,0.7645454545454545,0.7761377613776137,182.0
weighted avg,0.824194209671874,0.8296703296703297,0.8254599029506778,182.0
